"year","hunt","species","hunted","killed","sex","age","dok","gmu","mtnherd","horn","base","broomed","browtinel","browtiner","pointsl","pointsr"
"2021","CM300","Moose","Y","N","Unk","","","13B","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","Y","N","Unk","","","13A","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","Y","Y","Male","","09/04","13A","","0100","","","","","2","2"
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","Y","N","Unk","","","13E","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","Y","Y","Male","","09/19","13D","","5038","","","2","2","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","Y","N","Unk","","","13D","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","Y","Y","Male","","08/21","13B","","4700","","","2","2","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","Y","N","Unk","","","13B","","","","","","","",""
"2021","CM300","Moose","Y","N","Unk","","","13B","","","","","","","",""
"2021","CM300","Moose","Y","N","Unk","","","13C","","","","","","","",""
"2021","CM300","Moose","Y","N","Unk","","","13C","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","Y","N","Unk","","","13C","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","Y","N","Unk","","","13D","","","","","","","",""
"2021","CM300","Moose","Y","N","Unk","","","13B","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","Y","N","Unk","","","13A","","","","","","","",""
"2021","CM300","Moose","Y","N","Unk","","","13A","","","","","","","",""
"2021","CM300","Moose","Y","N","Unk","","","13A","","","","","","","",""
"2021","CM300","Moose","Y","N","Unk","","","13B","","","","","","","",""
"2021","CM300","Moose","Y","N","Unk","","","13B","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","N","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","Y","N","Unk","","","13A","","","","","","","",""
"2021","CM300","Moose","","","Unk","","","","","","","","","","",""
"2021","CM300","Moose","","","Unk","","","","","","","","","","",""
