"year","hunt","species","hunted","killed","sex","age","dok","gmu","mtnherd","horn","base","broomed","browtinel","browtiner","pointsl","pointsr"
"2021","DG005","Goat","Y","Y","Male","5","08/31","01A","","700","519","N","","","",""
"2021","DG005","Goat","N","","Unk","","","","","","","","","","",""
"2021","DG005","Goat","Y","Y","Male","4","09/25","01A","","881","550","N","","","",""
"2021","DG005","Goat","N","","Unk","","","","","","","","","","",""
"2021","DG005","Goat","Y","Y","Male","3","09/01","01A","","1000","675","","","","",""
"2021","DG006","Goat","N","","Unk","","","","","","","","","","",""
"2021","DG006","Goat","Y","N","Unk","","","","","","","","","","",""
"2021","DG006","Goat","Y","N","Unk","","","","","","","","","","",""
"2021","DG006","Goat","Y","Y","Female","4","08/17","01A","","925","450","N","","","",""
"2021","DG006","Goat","N","","Unk","","","","","","","","","","",""
"2021","DG006","Goat","N","","Unk","","","","","","","","","","",""
"2021","DG006","Goat","Y","Y","Male","4","09/18","01A","","1019","","","","","",""
"2021","DG006","Goat","Y","N","Unk","","","01A","","","","","","","",""
"2021","DG006","Goat","N","","Unk","","","","","","","","","","",""
"2021","DG006","Goat","Y","Y","Male","5","08/19","01A","","975","550","N","","","",""
"2021","DG006","Goat","Y","Y","Female","4","09/25","01A","","850","413","N","","","",""
"2021","DG006","Goat","Y","N","Unk","","","","","","","","","","",""
"2021","DG006","Goat","Y","N","Unk","","","","","","","","","","",""
"2021","DG006","Goat","Y","Y","Male","2","09/14","01A","","813","531","N","","","",""
"2021","DG006","Goat","Y","Y","Male","6","09/25","01A","","1113","581","Y","","","",""
"2021","DG006","Goat","Y","N","Unk","","","","","","","","","","",""
"2021","DG006","Goat","Y","N","Unk","","","","","","","","","","",""
"2021","DG006","Goat","Y","Y","Male","8","08/19","01A","","1006","581","Y","","","",""
"2021","DG006","Goat","N","","Unk","","","","","","","","","","",""
"2021","DG006","Goat","Y","N","Unk","","","","","","","","","","",""
"2021","DG006","Goat","Y","N","Unk","","","","","","","","","","",""
"2021","DG006","Goat","N","","Unk","","","","","","","","","","",""
"2021","DG006","Goat","Y","N","Unk","","","01A","","","","","","","",""
"2021","DG006","Goat","Y","N","Unk","","","01A","","","","","","","",""
"2021","DG006","Goat","Y","Y","Female","11","08/16","01A","","950","400","N","","","",""
"2021","DG006","Goat","Y","Y","Female","4","08/15","01A","","975","400","N","","","",""
"2021","DG006","Goat","Y","Y","Male","3","09/22","01A","","794","525","N","","","",""
"2021","DG006","Goat","Y","N","Unk","","","","","","","","","","",""
"2021","DG008","Goat","Y","N","Unk","","","","","","","","","","",""
"2021","DG008","Goat","Y","N","Unk","","","","","","","","","","",""
"2021","DG331","Goat","Y","Y","Male","1","08/10","","","619","413","","","","",""
"2021","DG331","Goat","Y","N","Unk","","","","","","","","","","",""
"2021","DG331","Goat","N","","Unk","","","","","","","","","","",""
"2021","DG334","Goat","Y","Y","Male","","09/11","","","","","","","","",""
"2021","DG334","Goat","Y","N","Unk","","","","","","","","","","",""
"2021","DG334","Goat","N","","Unk","","","","","","","","","","",""
"2021","DG334","Goat","Y","N","Unk","","","","","","","","","","",""
